,name,url
0,Abdus Salam,http://www.abc.org.br/sjbic/curriculo.asp?consulta=asalam
1,Abílio Afonso Baeta Neves,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aabn
2,Abimael Fernando Dourado Loula,http://www.abc.org.br/sjbic/curriculo.asp?consulta=afdl
3,Adalberto Fazzio,http://www.onmc-mct.org.br/~fazzio
4,Adalberto Luis Val,http://www.abc.org.br/sjbic/curriculo.asp?consulta=alv
5,Adalberto Vasquez,http://www.abc.org.br/sjbic/curriculo.asp?consulta=vasquez
6,Adão Roberto Rodrigues Villaverde,http://www.abc.org.br/sjbic/curriculo.asp?consulta=villa
7,Adélia Maria Engrácia G. de O. Rodrigues,http://www.abc.org.br/sjbic/curriculo.asp?consulta=adelia
8,Adelmar Faria Coimbra-Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=afcoimbra
9,Adib Domingos Jatene,http://www.abc.org.br/sjbic/curriculo.asp?consulta=jatene
10,Adolpho José Melfi,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ajmelfi
11,Ady Raul da Silva,http://www.onmc-mct.org.br/~ady
12,Aécio Neves da Cunha,http://www.abc.org.br/sjbic/curriculo.asp?consulta=anc
13,Affonso Augusto Guidão Gomes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aguidao
14,Afrânio Carvalho Aguiar,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aaguiar
15,Aída Hassón-Voloch,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aida
16,Alaíde Braga de Oliveira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=alaide
17,Alaor Silvério Chaves,http://www.abc.org.br/sjbic/curriculo.asp?consulta=achaves
18,Albanita Viana de Oliveira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=avo
19,Alberto Carvalho da Silva,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acdsilva
20,Alberto de Carvalho Peixoto de Azevedo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aazevedo
21,Alberto Duque Portugal,http://www.abc.org.br/sjbic/curriculo.asp?consulta=portugal
22,Alberto Franco de Sá Santoro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=santoro
23,Alberto Luiz Galvão Coimbra,http://www.abc.org.br/sjbic/curriculo.asp?consulta=algcoimbra
24,Alberto Passos Guimarães Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=apguima
25,Alberto Pereira de Castro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=apcastro
26,Alcides Lopes Tápias,http://www.abc.org.br/sjbic/curriculo.asp?consulta=tapias
27,Alcides Nóbrega Sial,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ans
28,Alcídio Abrão,http://www.abc.org.br/sjbic/curriculo.asp?consulta=alcidio
29,Alexandre Campello de Siqueira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acs
30,Alfred Gavin Maddock,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amaddock
31,Alfredo Miguel Ozorio de Almeida,http://www.abc.org.br/sjbic/curriculo.asp?consulta=almeida
32,Alfredo Noel Iusem,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aniusem
33,Alice Rangel de Paiva Abreu,http://www.abc.org.br/sjbic/curriculo.asp?consulta=abreu
34,Almiro Blumenschein,http://www.abc.org.br/sjbic/curriculo.asp?consulta=blumen
35,Aloísio Pessoa de Araújo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aparaujo
36,Aloysio Campos da Paz Júnior,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aloysio
37,Aluízio Rosa Prata,http://www.abc.org.br/sjbic/curriculo.asp?consulta=arp
38,Álvaro Santos Costa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ascosta
39,Álvaro Toubes Prata,http://www.abc.org.br/sjbic/curriculo.asp?consulta=atp
40,Alzira Alves de Abreu,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aaa
41,Amadeu Cury,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acury
42,Amaro Lanari Júnior,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amaro
43,Amartya Kumar Sen,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aksen
44,Américo Martins Craveiro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amc
45,Amilcar Figueira Ferrari,http://www.abc.org.br/sjbic/curriculo.asp?consulta=lbrisson
46,Amós Troper,http://www.abc.org.br/sjbic/curriculo.asp?consulta=atroper
47,Ana Lucia Almeida Gazzola,http://www.abc.org.br/sjbic/curriculo.asp?consulta=gazzola
48,Ana Mae Tavares Bastos Barbosa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amb
49,Ana Maria de Lauro Castrucci,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amdlcast
50,Ana Maria Fernandes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=anaf
51,André Nachbin,http://www.onmc-mct.org.br/~an
52,Andrew John George Simpson,http://www.abc.org.br/sjbic/curriculo.asp?consulta=asimpson
53,Ângela Maria de Castro Gomes,http://www.onmc-mct.org.br/~amcg
54,Ângela Tonelli Vaz Leão,http://www.abc.org.br/sjbic/curriculo.asp?consulta=avl
55,Ângelo Barbosa Monteiro Machado,http://www.abc.org.br/sjbic/curriculo.asp?consulta=amachado
56,Angelo da Cunha Pinto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=angelo
57,Anibal Eugenio Vercesi,http://www.abc.org.br/sjbic/curriculo.asp?consulta=anibal
58,Anita Dolly Panek,http://www.abc.org.br/sjbic/curriculo.asp?consulta=apanek
59,Antoniana Ursine Krettli,http://www.abc.org.br/sjbic/curriculo.asp?consulta=akrettli
60,Antônio Augusto Dayrell de Lima,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aadl
61,Antonio Cândido de Mello e Souza,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acms
62,Antonio Carlos Rocha Campos,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acrcampo
63,Antonio Cechelli de Mattos Paiva,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acmpaiva
64,Antônio Cesar Olinto de Oliveira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=olinto
65,Antônio Cesar Russi Callegari,http://www.abc.org.br/sjbic/curriculo.asp?consulta=acrc
66,Antonio Ermírio de Moraes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aem
67,Antonio Fernando Ribeiro de Toledo Piza,http://www.abc.org.br/sjbic/curriculo.asp?consulta=piza
68,Antonio Galves,http://www.abc.org.br/sjbic/curriculo.asp?consulta=galves
69,Antonio Gervásio Colares,http://www.abc.org.br/sjbic/curriculo.asp?consulta=agc
70,Antonio Luz Furtado,http://www.onmc-mct.org.br/~alf
71,Antônio Maria Amazonas Mac Dowell,http://www.abc.org.br/sjbic/curriculo.asp?consulta=macdowell
72,Antonio Paes de Carvalho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=apc
73,Antônio Rodrigues Cordeiro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cordeiro
74,Antonio Sérgio Pizarro Fragomeni,http://www.abc.org.br/sjbic/curriculo.asp?consulta=fragomeni
75,Argus Fagundes Ourique Moreira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=moreira
76,Ariane Luna Peixoto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=alp
77,Ariano Suassuna,http://www.abc.org.br/sjbic/curriculo.asp?consulta=as
78,Aristides Azevedo Pacheco Leão*,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ARISTIDES
79,Armando José Ponce de Leão Policarpo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=policarpo
80,Arnaldo Leite Pinto Garcia,http://www.abc.org.br/sjbic/curriculo.asp?consulta=garcia
81,Aron Simis,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aron
82,Artur Beltrame Ribeiro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=abribeiro
83,Artur Oscar Lopes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aol
84,Aziz Nacib Ab'Saber,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aabsaber
85,Beatriz Leonor Silveira Barbuy,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bbarbuy
86,Belita Koiller,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bk
87,Benildo Sousa Cavada,http://www.onmc-mct.org.br/~bsc
88,Benjamin Gilbert,http://www.abc.org.br/sjbic/curriculo.asp?consulta=gilbert
89,Bernardo Beiguelman,http://www.abc.org.br/sjbic/curriculo.asp?consulta=beiguel
90,Bernardo van Raij,http://www.abc.org.br/sjbic/curriculo.asp?consulta=raij
91,Bernhard Gross,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bgross
92,Berta Gleiser Ribeiro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bribeiro
93,Betty Mindlin,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bm
94,Blanka Wladislaw,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bwlad
95,Boris Fausto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bfausto
96,Brian Frederick Gilbert Johnson,http://www.abc.org.br/sjbic/curriculo.asp?consulta=brian
97,Candido Lima da Silva Dias,http://www.abc.org.br/sjbic/curriculo.asp?consulta=candido
98,Cândido Simões Ferreira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cferreira
99,Carl Peter von Dietrich,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cpdietrich
100,Carlos Afonso Nobre,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cnobre
101,Carlos Alberto Aragão de Carvalho Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=aragao
102,Carlos Alberto Lombardi Filgueiras,http://www.abc.org.br/sjbic/curriculo.asp?consulta=filgueiras
103,Carlos Alberto Schneider,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cas
104,Carlos Alberto Vogt,http://www.abc.org.br/sjbic/curriculo.asp?consulta=vogt
105,Carlos Alfredo Joly,http://www.abc.org.br/sjbic/curriculo.asp?consulta=caj
106,Carlos Américo Pacheco,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cpacheco
107,Carlos Chagas Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ccf
108,Carlos Clementi Cerri,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cerri
109,Carlos Eduardo Guinle da Rocha Miranda,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cerm
110,Carlos Francisco Theodoro Machado Ribeiro de Lessa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=clessa
111,Carlos Henrique de Brito Cruz,http://www.abc.org.br/sjbic/curriculo.asp?consulta=chbcruz
112,Carlos Ivan Simonsen Leal,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cisl
113,Carlos José Pereira de Lucena,http://www.abc.org.br/sjbic/curriculo.asp?consulta=lucena
114,Carlos Medicis Morel,http://www.abc.org.br/sjbic/curriculo.asp?consulta=morel
115,Carlos Ribeiro Diniz,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cdiniz
116,Carlos Rodrigues Brandão,http://www.abc.org.br/sjbic/curriculo.asp?consulta=crbrandao
117,Carlos Teobaldo Gutierrez Vidalon,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cgvidalon
118,Carolina Martuscelli Bori*,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cbori
119,Casimiro Montenegro Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cmontenegro
120,Caspar Erich Stemmer,http://www.abc.org.br/sjbic/curriculo.asp?consulta=caspar
121,Celina Vargas do Amaral Peixoto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=celinaap
122,Celso de Barros Gomes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cgomes
123,Celso José da Costa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cjcosta
124,Celso Lafer,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cl
125,Celso Luiz Nunes Amorim,http://www.abc.org.br/sjbic/curriculo.asp?consulta=camorim
126,Celso Monteiro Furtado,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cfurtado
127,Celso Pinto de Melo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=celso
128,César Leopoldo Camacho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ccamacho
129,Cesar Timo-Iaría,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cetiaria
130,Cesare Mansueto Giulio Lattes,http://www.abc.org.br/sjbic/curriculo.asp?consulta=clattes
131,Chaim Samuel Hönig,http://www.abc.org.br/sjbic/curriculo.asp?consulta=chonig
132,Charles Roland Clement,http://www.abc.org.br/sjbic/curriculo.asp?consulta=crc
133,Chintamani Nagesa Ramachandra Rao,http://www.abc.org.br/sjbic/curriculo.asp?consulta=chintamani
134,Cid Bartolomeu de Araújo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cba
135,Claude Cohen-Tannoudji,http://www.abc.org.br/sjbic/curriculo.asp?consulta=CCOHEN
136,Claude Lévi-Strauss,http://www.abc.org.br/sjbic/curriculo.asp?consulta=claude
137,Cláudio Augusto Machado Sampaio,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cams
138,Cláudio Costa Neto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=claudio
139,Cláudio José Marinho Lúcio,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cmarinho
140,Claudio Luiz Fróes Raeder,http://www.abc.org.br/sjbic/curriculo.asp?consulta=raeder
141,Clovis Caesar Gonzaga,http://www.abc.org.br/sjbic/curriculo.asp?consulta=clovis
142,Clovis Teixeira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cteixeira
143,Conceição Ribeiro da Silva Machado,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cmachado
144,Constantino Tsallis,http://www.abc.org.br/sjbic/curriculo.asp?consulta=tsallis
145,Cristovam Ricardo Cavalcanti Buarque,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cb
146,Crodowaldo Pavan,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cpavan
147,Cylon Eudóxio Tricot Gonçalves da Silva,http://www.abc.org.br/sjbic/curriculo.asp?consulta=cylon
148,Dan Marchesin,http://www.abc.org.br/sjbic/curriculo.asp?consulta=danmar
149,Daniel Bernard Nahon,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dnahon
150,Daniel G. Colley,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dgc
151,Daniel Saul Goldin,http://www.abc.org.br/sjbic/curriculo.asp?consulta=goldin
152,Darcy Fontoura de Almeida,http://www.abc.org.br/sjbic/curriculo.asp?consulta=darcy
153,Dario Braga,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dbraga
154,David Henry Peter Maybury-Lewis,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dmlewis
155,David James Waddington,http://www.abc.org.br/sjbic/curriculo.asp?consulta=djwl
156,David Pierre Ruelle,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dr
157,David Zylbersztajn,http://www.abc.org.br/sjbic/curriculo.asp?consulta=zylber
158,Dennis Parnell Sullivan,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dpsgc
159,Dieter Hans Herbert Kind,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dhhkind
160,Diogenes de Almeida Campos,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dac
161,Diogo Onofre Gomes de Souza,http://www.onmc-mct.org.br/~dgsouza
162,Djairo Guedes de Figueiredo,http://www.abc.org.br/sjbic/curriculo.asp?consulta=djairo
163,Donald Douglas Cowan,http://www.onmc-mct.org.br/~ddc
164,Donato Alexandre Gomes Aranda,http://www.onmc-mct.org.br/~daga
165,Dora Selma Fix Ventura,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dventura
166,Dorothea Fonseca Furquim Werneck,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dwerneck
167,Durval Rosa Borges,http://www.abc.org.br/sjbic/curriculo.asp?consulta=drb
168,Eder Carlos Rocha Quintão,http://www.abc.org.br/sjbic/curriculo.asp?consulta=EQUINTAO
169,Edgar Dutra Zanotto,http://www.onmc-mct.org.br/~ezanotto
170,Edgar Marcelino de Carvalho Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=EMCF
171,Edouard Brezin,http://www.onmc-mct.org.br/~eb
172,Edson Hirokazu Watanabe,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ehw
173,Edson Machado de Sousa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emachado
174,Edson Vaz Musa,http://www.abc.org.br/sjbic/curriculo.asp?consulta=evm
175,Edson Xavier Albuquerque,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ealbuquerque
176,Eduardo Cantera Marino,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emarino
177,Eduardo Feller,http://www.abc.org.br/sjbic/curriculo.asp?consulta=efeller
178,Eduardo Galvão Moura Jardim,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ejardim
179,Eduardo Henrique Accioly Campos,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ec
180,Eduardo Moacyr Krieger,http://www.abc.org.br/sjbic/curriculo.asp?consulta=edkrieger
181,Eduardo Oswaldo Cruz,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eocruz
182,Eduardo Penna Franca,http://www.abc.org.br/sjbic/curriculo.asp?consulta=epfranca
183,Eggon João da Silva,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ejs
184,Elcio Alvares,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ealvares
185,Eliane Volchan,http://www.abc.org.br/sjbic/curriculo.asp?consulta=evolchan
186,Elias Ayres Guidetti Zagatto,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eagzagat
187,Elibio Leopoldo Rech Filho,http://www.mct.gov.br/www.abc.org.br/sjbic/curriculo.asp?consulta=elrf
188,Eliezer Jesus de Lacerda Barreiro,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eliezerb
189,Elisa Maria da Conceição Pereira Reis,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ereis
190,Elisaldo Luiz de Araújo Carlini,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ecarlini
191,Eliseu Roberto de Andrade Alves,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eraa
192,Elliot Watanabe Kitajima,http://www.abc.org.br/sjbic/curriculo.asp?consulta=EWK
193,Eloi de Souza Garcia,http://www.abc.org.br/sjbic/curriculo.asp?consulta=egarcia
194,Eloi Fernández y Fernández,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eloi
195,Eloisa Biasotto Mano,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emano
196,Elon Lages Lima,http://www.abc.org.br/sjbic/curriculo.asp?consulta=elima
197,Elysiario Távora Filho,http://www.abc.org.br/sjbic/curriculo.asp?consulta=etf
198,Elza Salvatori Berquó,http://www.abc.org.br/sjbic/curriculo.asp?consulta=berquo
199,Eneas Salati,http://www.abc.org.br/sjbic/curriculo.asp?consulta=esalati
200,Erasmo Madureira Ferreira,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emf
201,Ergílio Cláudio-da-Silva Jr.,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ecsj
202,Ernesto Giesbrecht,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ERGI
203,Ernesto Heinzelmann,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eh
