,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0_x,name,url_x,Unnamed: 0_y,url_y,wikipedia
1,2,3,4,5,6,43,43,43,108,Eder Carlos Rocha Quintão,http://www.abc.org.br/membro/eder-carlos-rocha-quintao/,168,http://www.abc.org.br/sjbic/curriculo.asp?consulta=EQUINTAO,
2,3,4,5,6,7,47,47,47,119,Eduardo Cantera Marino,http://www.abc.org.br/membro/eduardo-cantera-marino/,176,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emarino,
3,4,5,6,7,8,49,49,49,126,Elias Ayres Guidetti Zagatto,http://www.abc.org.br/membro/elias-ayres-guidetti-zagatto/,186,http://www.abc.org.br/sjbic/curriculo.asp?consulta=eagzagat,
4,5,6,7,8,9,53,53,53,130,Eloi de Souza Garcia,http://www.abc.org.br/membro/eloi-de-souza-garcia/,193,http://www.abc.org.br/sjbic/curriculo.asp?consulta=egarcia,
5,6,7,8,9,10,57,57,57,137,Esper Abrão Cavalheiro,http://www.abc.org.br/membro/esper-abrao-cavalheiro/,207,http://www.abc.org.br/sjbic/curriculo.asp?consulta=esper,
6,7,8,9,10,11,59,59,59,142,Fábio de Melo Sene,http://www.abc.org.br/membro/fabio-de-melo-sene/,213,http://www.onmc-mct.org.br/~fms,
7,8,9,10,11,12,65,65,65,158,Francisco Antonio Bezerra Coutinho,http://www.abc.org.br/membro/francisco-antonio-bezerra-coutinho/,233,http://www.abc.org.br/sjbic/curriculo.asp?consulta=fabc,
8,9,10,11,12,13,67,67,67,162,Francisco Lacaz de Moraes Vieira,http://www.abc.org.br/membro/francisco-lacaz-de-moraes-vieira/,238,http://www.abc.org.br/sjbic/curriculo.asp?consulta=flacaz,
9,10,11,12,13,14,69,69,69,170,George Alexandre dos Reis,http://www.abc.org.br/membro/george-alexandre-dos-reis/,245,http://www.abc.org.br/sjbic/curriculo.asp?consulta=gareis,
10,11,12,13,14,15,72,72,72,183,Helion Vargas,http://www.abc.org.br/membro/helion-vargas/,275,http://www.abc.org.br/sjbic/curriculo.asp?consulta=hvargas,
11,12,13,14,15,16,73,73,73,185,Henrique Eisi Toma,http://www.abc.org.br/membro/henrique-eisi-toma/,278,http://www.abc.org.br/sjbic/curriculo.asp?consulta=htoma,
