,Unnamed: 0_x,name,url_x,Unnamed: 0_y,url_y,wikipedia
0,0,Alaíde Braga de Oliveira,http://www.abc.org.br/membro/alaide-braga-de-oliveira/,16,http://www.abc.org.br/sjbic/curriculo.asp?consulta=alaide,https://pt.wikipedia.org/wiki/Ala%C3%ADde_Braga_de_Oliveira
1,8,Anita Dolly Panek,http://www.abc.org.br/membro/anita-dolly-panek/,58,http://www.abc.org.br/sjbic/curriculo.asp?consulta=apanek,https://pt.wikipedia.org/wiki/Anita_Dolly_Panek
2,10,Antoniana Ursine Krettli,http://www.abc.org.br/membro/antoniana-ursine-krettli/,59,http://www.abc.org.br/sjbic/curriculo.asp?consulta=akrettli,https://pt.wikipedia.org/wiki/Antoniana_Ursine_Krettli
3,11,Beatriz Leonor Silveira Barbuy,http://www.abc.org.br/membro/beatriz-leonor-silveira-barbuy/,85,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bbarbuy,https://pt.wikipedia.org/wiki/Beatriz_Barbuy
4,12,Belita Koiller,http://www.abc.org.br/membro/belita-koiller/,86,http://www.abc.org.br/sjbic/curriculo.asp?consulta=bk,https://pt.wikipedia.org/wiki/Belita_Koiller
5,25,Dora Selma Fix Ventura,http://www.abc.org.br/membro/dora-selma-fix-ventura/,165,http://www.abc.org.br/sjbic/curriculo.asp?consulta=dventura,https://pt.wikipedia.org/wiki/Dora_Selma_Fix_Ventura
6,28,Elisa Maria da Conceição Pereira Reis,http://www.abc.org.br/membro/elisa-maria-da-conceicao-pereira-reis/,189,http://www.abc.org.br/sjbic/curriculo.asp?consulta=ereis,https://pt.wikipedia.org/wiki/Lista_de_membros_titulares_da_Academia_Brasileira_de_Ci%C3%AAncias_empossados_em_2000
7,30,Eloisa Biasotto Mano,http://www.abc.org.br/membro/eloisa-biasotto-mano/,195,http://www.abc.org.br/sjbic/curriculo.asp?consulta=emano,https://pt.wikipedia.org/wiki/Eloisa_Biasotto_Mano
8,31,Elza Salvatori Berquó,http://www.abc.org.br/membro/elza-salvatori-berquo/,198,http://www.abc.org.br/sjbic/curriculo.asp?consulta=berquo,https://pt.wikipedia.org/wiki/Elza_Salvatori_Berqu%C3%B3
9,32,Helena Bonciani Nader,http://www.abc.org.br/membro/helena-bonciani-nader/,271,http://www.abc.org.br/sjbic/curriculo.asp?consulta=hnader,https://pt.wikipedia.org/wiki/Helena_Nader
10,36,Keti Tenenblat,http://www.abc.org.br/membro/keti-tenenblat/,383,http://www.abc.org.br/sjbic/curriculo.asp?consulta=keti,https://pt.wikipedia.org/wiki/Keti_Tenenblat
11,38,Leny Alves Cavalcante,http://www.abc.org.br/membro/leny-alves-cavalcante/,386,http://www.abc.org.br/sjbic/curriculo.asp?consulta=lacav,
12,39,Lourdes Sola,http://www.abc.org.br/membro/lourdes-sola/,396,http://www.abc.org.br/sjbic/curriculo.asp?consulta=lsola,
13,40,Lucia Mendonça Previato,http://www.abc.org.br/membro/lucia-mendonca-previato/,399,http://www.abc.org.br/sjbic/curriculo.asp?consulta=lmpreviato,https://pt.wikipedia.org/wiki/Lucia_Mendon%C3%A7a_Previato
14,54,Maria Manuela Ligeti Carneiro da Cunha,http://www.abc.org.br/membro/maria-manuela-ligeti-carneiro-da-cunha/,459,http://www.abc.org.br/sjbic/curriculo.asp?consulta=mmcc,https://pt.wikipedia.org/wiki/Manuela_Carneiro_da_Cunha
15,65,Mayana Zatz,http://www.abc.org.br/membro/mayana-zatz/,478,http://www.abc.org.br/sjbic/curriculo.asp?consulta=mayazatz,https://pt.wikipedia.org/wiki/Mayana_Zatz
16,71,Nanuza Luiza de Menezes,http://www.abc.org.br/membro/nanuza-luiza-de-menezes/,493,http://www.abc.org.br/sjbic/curriculo.asp?consulta=nlm,
17,72,Ohara Augusto,http://www.abc.org.br/membro/ohara-augusto/,503,http://www.onmc-mct.org.br/~ohara,https://pt.wikipedia.org/wiki/Lista_de_membros_titulares_da_Academia_Brasileira_de_Ci%C3%AAncias_empossados_em_2002
18,79,Ruth Sonntag Nussenzweig,http://www.abc.org.br/membro/ruth-sonntag-nussenzweig-2/,590,http://www.abc.org.br/sjbic/curriculo.asp?consulta=rsonntag,https://pt.wikipedia.org/wiki/Ruth_Sonntag_Nussenzweig
19,82,Shirley Schreier,http://www.abc.org.br/membro/shirley-schreier/,609,http://www.abc.org.br/sjbic/curriculo.asp?consulta=sschreier,
20,94,Yvonne Primerano Mascarenhas,http://www.abc.org.br/membro/yvonne-primerano-mascarenhas/,664,http://www.abc.org.br/sjbic/curriculo.asp?consulta=yvonne,https://pt.wikipedia.org/wiki/Yvonne_Primerano_Mascarenhas
